insee,nom,wikipedia,surf_ha,cx,cy
64525,Siros,fr:Siros,236,-0.4876807048991104,43.341735461164774
64198,Denguin,fr:Denguin,1213,-0.49928224980764113,43.36921334973721
64080,Aussevielle,fr:Aussevielle,330,-0.47819874277086105,43.35984975704326
64121,Beyrie-en-Béarn,fr:Beyrie-en-Béarn,275,-0.46547013327153897,43.3721792785859
64448,Poey-de-Lescar,fr:Poey-de-Lescar,692,-0.45462044847623967,43.355686607674684
64184,Cescau,fr:Cescau (Pyrénées-Atlantiques),803,-0.5006245273915562,43.41058099772202
64142,Bougarber,fr:Bougarber,1027,-0.4718836495989938,43.39510800969039
64554,Viellenave-d'Arthez,fr:Viellenave-d'Arthez,391,-0.47683252175701646,43.413640566098366
64549,Uzein,fr:Uzein,1620,-0.4326314168100037,43.39655926338202
64367,Maslacq,fr:Maslacq,1336,-0.6972160069270259,43.420196825820256
64396,Mont,fr:Mont (Pyrénées-Atlantiques),1828,-0.6627884975027508,43.43150417348314
64042,Argagnon,fr:Argagnon,931,-0.6811638364784842,43.46220703300112
64088,Balansun,fr:Balansun,1075,-0.6911546413879073,43.49128051335046
64057,Arthez-de-Béarn,fr:Arthez-de-Béarn,2803,-0.6153758921280751,43.4645299463251
64382,Mesplède,fr:Mesplède,1162,-0.649860992257993,43.49385283067102
64300,Lacq,fr:Lacq,1707,-0.6126737771724412,43.42360195509484
64541,Urdès,fr:Urdès,589,-0.5780120074054578,43.44139732194827
64200,Doazon,fr:Doazon,610,-0.5527311344581383,43.45292077467657
64048,Arnos,fr:Arnos,577,-0.5318531102505076,43.459112944173214
64181,Castillon,fr:Castillon (Canton d'Arthez-de-Béarn),684,-0.5746795719439179,43.46607517177214
64450,Pomps,fr:Pomps,776,-0.545012505475708,43.4843814933147
64296,Lacadée,fr:Lacadée,485,-0.6570366423329551,43.52506366887619
40007,Argelos,fr:Argelos (Landes),651,-0.6203297868359524,43.58029447658602
64254,Hagetaubin,fr:Hagetaubin,1883,-0.6125525363246295,43.50978437919331
64406,Morlanne,fr:Morlanne,1311,-0.5319701534093003,43.50985171832999
40232,Poudenx,fr:Poudenx,748,-0.5896135642494214,43.58266250396731
64171,Casteide-Cami,fr:Casteide-Cami,692,-0.5282753857192188,43.42402189811296
64144,Boumourt,fr:Boumourt,799,-0.510805093773829,43.446435268825574
64374,Mazerolles,fr:Mazerolles (Pyrénées-Atlantiques),1179,-0.47797756427370197,43.444023700336835
